"Name","Position","Zips","Fans","Steamer","Oliver","Rotochamp","Average","Total",,,,,,
"Ryan Zimmerman","Hitter",585,596,503.5,538.5,552.5,555.1,5,,,,,,
"Paul Konerko","Hitter",532,590,505,539,604.5,554.1,5,,,,,,
"Dustin Ackley","Hitter",552,626.5,528.5,527.5,522,551.3,5,,,,,,
"Adam Wainwright","Pitcher",503,624,516,0,561,551,4,,,,,,
"Jimmy Rollins","Hitter",543,575.5,530,499.5,601,549.8,5,,,,,,
"Carlos Santana","Hitter",530,594,481,545,590.5,548.1,5,,,,,,
"Jon Lester","Pitcher",542,588,498,574,533,547,5,,,,,,
"Kyle Seager","Hitter",553,594,506,529,550,546.4,5,,,,,,
"Alex Rios","Hitter",549,581,518.5,527.5,555,546.2,5,,"mine",,,,
"Asdrubal Cabrera","Hitter",556,558,513,525.5,574,545.3,5,,,,,,
"Troy Tulowitzki","Hitter",496,627.5,525,449,620,543.5,5,,,,,,
"Mark Teixeira","Hitter",539.5,552,485,541.5,598.5,543.3,5,,,,,,
"Neil Walker","Hitter",547.5,586.5,536.5,505.5,534.5,542.1,5,,,,,,
"Brett Lawrie","Hitter",529.5,620,479,500.5,575.5,540.9,5,,,,,,
"Ichiro Suzuki","Hitter",568,591,503.5,516.5,519,539.6,5,,,,,,
"Josh Reddick","Hitter",499,578.5,513,520.5,587,539.6,5,,,,,,
"Nick Swisher","Hitter",486,613,540.5,518.5,528,537.2,5,,,,,,
"Joe Mauer","Hitter",522,601.5,478,496,587,536.9,5,,,,,,
"Desmond Jennings","Hitter",536,610.5,525.5,488,523.5,536.7,5,,,,,,
"David Ortiz","Hitter",449.5,631.5,488.5,481,623.5,534.8,5,,,,,,
"Matt Moore","Pitcher",494,617,518,508,537,534.8,5,,,,,,
"Roy Halladay","Pitcher",500,550,478,600,533,532.2,5,,"mine",,,,
"Allen Craig","Hitter",480,628.5,524,451,573.5,531.4,5,,,,,,
"C.J. Wilson","Pitcher",521,538,449,598,550,531.2,5,,,,,,
"Dexter Fowler","Hitter",526.5,587.5,525.5,471,535,529.1,5,,,,,,
"Alcides Escobar","Hitter",496,560,517.5,527.5,539.5,528.1,5,,,,,,
"Michael Young","Hitter",522.5,549,489,522.5,556.5,527.9,5,,,,,,
"Ian Desmond","Hitter",525.5,570,495.5,500.5,542.5,526.8,5,,,,,,
"Adam Eaton","Hitter",598,553,478.5,545,457.5,526.4,5,,,,,,
"Michael Brantley","Hitter",545.5,569.5,496,497.5,522.5,526.2,5,,,,,,
"Ike Davis","Hitter",417,636,563.5,457.5,555.5,525.9,5,,,,,,
"Mike Moustakas","Hitter",550.5,556,496,505.5,496,520.8,5,,,,,,
"Ben Revere","Hitter",526,565.5,503.5,481.5,522,519.7,5,,,,,,
"Yonder Alonso","Hitter",477,582.5,471.5,501.5,559.5,518.4,5,,,,,,
"Chris Sale","Pitcher",536,606,491,426,528,517.4,5,,,,,,
"Alejandro De Aza","Hitter",475,576,497,486.5,549.5,516.8,5,,,,,,
"Andre Ethier","Hitter",515.5,566,440,516.5,539.5,515.5,5,,,,,,
"Josh Rutledge","Hitter",578,523,503.5,438.5,531.5,514.9,5,,,,,,
"Carlos Beltran","Hitter",429.5,570.5,477,507.5,579.5,512.8,5,,,,,,
"Jacoby Ellsbury","Hitter",427,607,537.5,415.5,570,511.4,5,,,,,,
"Rickie Weeks","Hitter",496.5,571.5,485,489,512.5,510.9,5,,,,,,
"Mark Trumbo","Hitter",539.5,514.5,439,532.5,528.5,510.8,5,,,,,,
"Carlos Gonzalez","Hitter",670,648,39,566.5,629,510.5,5,,,,,,
"Johnny Cueto","Pitcher",511,577,462,515,483,509.6,5,,,,,,
"Yadier Molina","Hitter",495.5,556,424.5,517,553,509.2,5,,,,,,
"Alexei Ramirez","Hitter",528,533,474,481,527.5,508.7,5,,,,,,
"Trevor Cahill","Pitcher",523,531,456,521,494,505,5,,,,,,
"Anibal Sanchez","Pitcher",464,548,435,529,548,504.8,5,,"mine",,,,
"Daniel Murphy","Hitter",406.5,592,530.5,416.5,555.5,500.2,5,,,,,,
"A.J. Burnett","Pitcher",422,576,476,512,512,499.6,5,,,,,,
"Brandon Belt","Hitter",469.5,563.5,465,514,478,498,5,,,,,,
"Nelson Cruz","Hitter",512.5,526,450,519,480,497.5,5,,,,,,
"Dan Uggla","Hitter",505,533.5,453.5,494,496.5,496.5,5,,,,,,
"Edwin Jackson","Pitcher",484,520,480,533,465,496.4,5,,,,,,
"Dan Haren","Pitcher",482,463,380,585,567,495.4,5,,"mine",,,,
"Marco Scutaro","Hitter",424,539,498,471.5,543,495.1,5,,,,,,
"Josh Willingham","Hitter",454,545.5,439.5,484,550,494.6,5,,,,,,
"Matt Wieters","Hitter",501.5,528.5,420.5,470,546,493.3,5,,,,,,
"Denard Span","Hitter",475,556,465,434.5,535.5,493.2,5,,,,,,
"Adam LaRoche","Hitter",411.5,578,484.5,436.5,553,492.7,5,,,,,,
"Barry Bonds","Hitter",0,492.5,0,0,0,492.5,1,,,,,,
"Michael Cuddyer","Hitter",508.5,524,427,456,532.5,489.6,5,,,,,,
"Victor Martinez","Hitter",414.5,564.5,465.5,521,482.5,489.6,5,,,,,,
"Pedro Alvarez","Hitter",505.5,541.5,468,432,500,489.4,5,,,,,,
"Derek Jeter","Hitter",458.5,527,459,507,493.5,489,5,,,,,,
"Torii Hunter","Hitter",513,512.5,446,466.5,507,489,5,,,,,,
"Jayson Werth","Hitter",418,598.5,471.5,462.5,476,485.3,5,,,,,,
"Coco Crisp","Hitter",419,530,462,470,538.5,483.9,5,,,,,,
"Starling Marte","Hitter",490,515.5,489,516,408,483.7,5,,,,,,
"Brandon Morrow","Pitcher",459,538,415,485,521,483.6,5,,,,,,
"Erick Aybar","Hitter",504.5,489.5,396.5,497,526.5,482.8,5,,,,,,
"Howie Kendrick","Hitter",510.5,520,421,482,478,482.3,5,,,,,,
"Jeff Samardzija","Pitcher",502,551,471,379,508,482.2,5,,,,,,
"Ryan Dempster","Pitcher",427,515,427,514,528,482.2,5,,,,,,
"Hiroki Kuroda","Pitcher",475,497,424,540,473,481.8,5,,,,,,
"Jon Jay","Hitter",454,548.5,471.5,432,498.5,480.9,5,,,,,,
"J.J. Hardy","Hitter",495.5,508.5,450,453.5,490.5,479.6,5,,,,,,
"Ubaldo Jimenez","Pitcher",470,506,419,519,482,479.2,5,,,,,,
"Logan Morrison","Hitter",429,522.5,422.5,467,552.5,478.7,5,,,,,,
"Garrett Jones","Hitter",464,515,460,467,482.5,477.7,5,,,,,,
"Adam Dunn","Hitter",431,559.5,469.5,431.5,492.5,476.8,5,,,,,,
"Jon Niese","Pitcher",462,528,431,508,453,476.4,5,,,,,,
"Justin Masterson","Pitcher",453,499,429,529,470,476,5,,,,,,
"Ricky Romero","Pitcher",466,487,388,540,497,475.6,5,,,,,,
"Mike Minor","Pitcher",456,537,442,491,451,475.4,5,,,,,,
"Doug Fister","Pitcher",421,520,421,482,533,475.4,5,,,,,,
"Derek Holland","Pitcher",446,520,435,468,502,474.2,5,,,,,,
,"Hitter",473.5,0,0,0,0,473.5,1,,,,,,
"Jarrod Parker","Pitcher",494,526,421,454,469,472.8,5,,,,,,
"Cameron Maybin","Hitter",460,530.5,440,458,474,472.5,5,,,,,,
"Corey Hart","Hitter",538.5,535,395,518,376,472.5,5,,,,,,
"Wandy Rodriguez","Pitcher",444,490,408,522,488,470.4,5,,,,,,
"Jason Kubel","Hitter",475.5,522.5,419,456.5,476,469.9,5,,,,,,
"Andrelton Simmons","Hitter",431.5,535,458,379,544,469.5,5,,,,,,
"David Murphy","Hitter",418.5,540.5,437.5,455,495.5,469.4,5,,,,,,
"Dayan Viciedo","Hitter",504,487.5,418.5,467,467.5,468.9,5,,,,,,
"Darwin Barney","Hitter",484.5,492,428.5,441,489.5,467.1,5,,,,,,
"Danny Espinosa","Hitter",490,506,411.5,501.5,418,465.4,5,,,,,,
"Todd Frazier","Hitter",470,520.5,407,436.5,492,465.2,5,,,,,,
"Matt Garza","Pitcher",411,503,417,449,545,465,5,,,,,,
"Jordan Zimmermann","Pitcher",400,537,435,437,510,463.8,5,,,,,,
"Carlos Lee","Hitter",500,0,358.5,496,500,463.63,4,,,,,,
"Chris Davis","Hitter",452.5,491.5,430,458,484,463.2,5,,,,,,
"Matt Harrison","Pitcher",481,510,435,446,441,462.6,5,,,,,,
"Ryan Howard","Hitter",421,530,448,424,488.5,462.3,5,,,,,,
"Matt Joyce","Hitter",426,523,408,451.5,500.5,461.8,5,,,,,,
"David DeJesus","Hitter",415,531.5,454,425,480.5,461.2,5,,,,,,
"Juan Pierre","Hitter",446,512.5,439,468,439,460.9,5,,,,,,
"Omar Infante","Hitter",461,455.5,401,476.5,509,460.6,5,,,,,,
"Alfonso Soriano","Hitter",474.5,494.5,411,430,488,459.6,5,,,,,,
"Mark Reynolds","Hitter",439,497,419,446,484.5,457.1,5,,,,,,
"Yunel Escobar","Hitter",442.5,484.5,413,442,499,456.2,5,,,,,,
"Colby Rasmus","Hitter",495,472,381.5,468,459.5,455.2,5,,,,,,
"Miguel Montero","Hitter",434,529.5,403,440.5,466.5,454.7,5,,,,,,
"Jhonny Peralta","Hitter",467.5,459,387,470.5,485.5,453.9,5,,,,,,
"Will Middlebrooks","Hitter",405.5,493,428,412.5,526.5,453.1,5,,,,,,
"Ryan Ludwick","Hitter",439.5,489,409,436,492,453.1,5,,,,,,
"Manny Machado","Hitter",508.5,505,405,378.5,466.5,452.7,5,,,,,,
"Bud Norris","Pitcher",443,440,354,505,517,451.8,5,,,,,,
"Matt Harvey","Pitcher",466,517,386,384,505,451.6,5,,,,,,
"Josh Johnson","Pitcher",393,541,394,429,494,450.2,5,,,,,,
"Jedd Gyorko","Hitter",454,468.5,355.5,517.5,0,448.88,4,,,,,,
