"Name","Position","Zips","Fans","Steamer","Oliver","Rotochamp","Average","Total",,,,,,
"J.R. Graham","Pitcher",227,0,122,260,0,203,3,,,,,,
"Kyle Hudson","Hitter",337.5,0,68,0,0,202.75,2,,,,,,
"Mark Haddow","Hitter",0,0,67,338.5,0,202.75,2,,,,,,
"Albert Cartwright","Hitter",0,0,66,339.5,0,202.75,2,,,,,,
"Jiovanni Mier","Hitter",246.5,0,55.5,306,0,202.67,3,,,,,,
"Robinson Chirinos","Hitter",277.5,0,69.5,261,0,202.67,3,,,,,,
"Tyler Graham","Hitter",226.5,0,73,308.5,0,202.67,3,,,,,,
"Taylor Lindsey","Hitter",0,0,67,338,0,202.5,2,,,,,,
"Enrique Hernandez","Hitter",0,0,71.5,333.5,0,202.5,2,,,,,,
"Matt Mangini","Hitter",331,0,74,0,0,202.5,2,,,,,,
"Ryan Langerhans","Hitter",242.5,0,72.5,292.5,0,202.5,3,,,,,,
"Sam LeCure","Pitcher",174,207,174,237,220,202.4,5,,,,,,
"Trever Adams","Hitter",0,0,57,347.5,0,202.25,2,,,,,,
"Addison Maruszak","Hitter",0,0,71.5,333,0,202.25,2,,,,,,
"Kevin Ahrens","Hitter",0,0,54,350.5,0,202.25,2,,,,,,
"Mark Sobolewski","Hitter",0,0,68,336.5,0,202.25,2,,,,,,
"David Popkins","Hitter",0,0,0,202,0,202,1,,,,,,
"Corey Seager","Hitter",0,0,0,202,0,202,1,,,,,,
"Bryan Anderson","Hitter",243,0,68.5,294.5,0,202,3,,,,,,
"Magglio Ordonez","Hitter",0,0,81.5,322.5,0,202,2,,,,,,
"Samuel Tuivailala","Hitter",0,0,0,202,0,202,1,,,,,,
"Nick Tepesch","Pitcher",0,0,100,304,0,202,2,,,,,,
"Pedro Villarreal","Pitcher",251,0,79,276,0,202,3,,,,,,
"Brooks Raley","Pitcher",216,0,98,292,0,202,3,,,,,,
"Jose Iglesias","Hitter",340.5,0,71,302,94,201.88,4,,,,,,
"Tyler Matzek","Pitcher",267,0,113,225,0,201.67,3,,,,,,
"Joel Licon","Hitter",0,0,0,201.5,0,201.5,1,,,,,,
"Tim Crabbe","Pitcher",0,0,107,296,0,201.5,2,,,,,,
"Rick VandenHurk","Pitcher",0,0,82,321,0,201.5,2,,,,,,
"Travis Mattair","Hitter",0,0,59.5,343,0,201.25,2,,,,,,
"Michael Earley","Hitter",0,0,64,338.5,0,201.25,2,,,,,,
"Kevin Plawecki","Hitter",0,0,50.5,352,0,201.25,2,,,,,,
"Reed Johnson","Hitter",167.5,252,142,251,193.5,201.2,5,,,,,,
"Eric Stamets","Hitter",0,0,58,344,0,201,2,,,,,,
"Paul McAnulty","Hitter",323.5,0,78.5,0,0,201,2,,,,,,
"Joe Martinez","Pitcher",238,0,76,289,0,201,3,,,,,,
"Ross Heffley","Hitter",0,0,57.5,344,0,200.75,2,,,,,,
"Kent Matthes","Hitter",0,0,85.5,316,0,200.75,2,,,,,,
"Jason Krizan","Hitter",0,0,57.5,344,0,200.75,2,,,,,,
"Carlos Sanchez","Hitter",370.5,0,54,177.5,0,200.67,3,,,,,,
"Jordan Henry","Hitter",0,0,71.5,329.5,0,200.5,2,,,,,,
"Dominic D'Anna","Hitter",0,0,62,339,0,200.5,2,,,,,,
"Jason Donald","Hitter",315,0,75,331,80.5,200.38,4,,,,,,
"Willie Bloomquist","Hitter",246,0,111,293,151.5,200.38,4,,,,,,
"Zach Lutz","Hitter",246.5,0,70.5,284,0,200.33,3,,,,,,
"Greg Sexton","Hitter",0,0,65,335.5,0,200.25,2,,,,,,
"Ben Thomas","Hitter",0,0,56,344.5,0,200.25,2,,,,,,
"Robert Refsnyder","Hitter",0,0,61.5,338.5,0,200,2,,,,,,
"Marcus Knecht","Hitter",0,0,53,347,0,200,2,,,,,,
"Troy Snitker","Hitter",0,0,0,200,0,200,1,,,,,,
"Mike Cervenak","Hitter",323.5,0,76.5,0,0,200,2,,,,,,
"Paolo Espino","Pitcher",0,0,104,296,0,200,2,,,,,,
"Kyle Kraus","Pitcher",0,0,0,200,0,200,1,,,,,,
"Bruce Rondon","Pitcher",108,0,278,106,308,200,4,,,,,,
"Tsuyoshi Wada","Pitcher",289,0,101,245,165,200,4,,,,,,
"Keenyn Walker","Hitter",269,0,49.5,281,0,199.83,3,,,,,,
"Drew Storen","Pitcher",164,254,214,163,204,199.8,5,,,,,,
"Johnny Ruettiger","Hitter",0,0,75,324.5,0,199.75,2,,,,,,
"Tyler Chatwood","Pitcher",272,0,99,315,113,199.75,4,,,,,,
"Justin Sellers","Hitter",231,0,68,300,0,199.67,3,,,,,,
"Joe Witkowski","Hitter",0,0,0,199.5,0,199.5,1,,,,,,
"Eldred Barnett","Hitter",0,0,0,199.5,0,199.5,1,,,,,,
"Mark Minicozzi","Hitter",0,0,74,325,0,199.5,2,,,,,,
"Shayne Houck","Hitter",0,0,0,199.5,0,199.5,1,,,,,,
"Kyle Blanks","Hitter",180.5,0,135,283,0,199.5,3,,,,,,
"Daniel Grovatt","Hitter",0,0,61.5,337.5,0,199.5,2,,,,,,
"Alfredo Aceves","Pitcher",206,0,230,200,162,199.5,4,,,,,,
"Lou Marson","Hitter",220,0,91,286,200,199.25,4,,,,,,
"Jose Molina","Hitter",153,243.5,157.5,210,231.5,199.1,5,,,,,,
"Garin Cecchini","Hitter",0,0,61.5,336.5,0,199,2,,,,,,
"Kevin Keyes","Hitter",0,0,58,340,0,199,2,,,,,,
"Asher Wojciechowski","Pitcher",212,0,96,289,0,199,3,,,,,,
"Roberto Hernandez","Pitcher",225,0,210,261,100,199,4,,,,,,
"Chad Rogers","Pitcher",266,0,95,236,0,199,3,,,,,,
"Lyle Overbay","Hitter",244.5,0,71.5,310,169.5,198.88,4,,,,,,
"Scott Cousins","Hitter",229.5,0,72,295,0,198.83,3,,,,,,
"Gerson Montilla","Hitter",0,0,73.5,324,0,198.75,2,,,,,,
"Max Muncy","Hitter",0,0,59.5,338,0,198.75,2,,,,,,
"Esmil Rogers","Pitcher",213,0,133,251,198,198.75,4,,,,,,
"Nick Green","Hitter",238.5,0,69,288.5,0,198.67,3,,,,,,
"Ethan Martin","Pitcher",237,0,74,285,0,198.67,3,,,,,,
"Travious Relaford","Hitter",0,0,0,198.5,0,198.5,1,,,,,,
"Ross Wilson","Hitter",0,0,63.5,333.5,0,198.5,2,,,,,,
"Jesmuel Valentin","Hitter",0,0,0,198.5,0,198.5,1,,,,,,
"Cody Bartlett","Hitter",0,0,0,198.5,0,198.5,1,,,,,,
"Jamal Austin","Hitter",0,0,58,339,0,198.5,2,,,,,,
"Kevin Mager","Hitter",0,0,0,198.5,0,198.5,1,,,,,,
"Alfredo Amezaga","Hitter",197,0,67,331.5,0,198.5,3,,,,,,
"Jack Hannahan","Hitter",248.5,0,103.5,302,140,198.5,4,,,,,,
"Brad Hand","Pitcher",289,0,108,0,0,198.5,2,,,,,,
"Joe Mather","Hitter",220,0,70.5,304.5,0,198.33,3,,,,,,
"Cesar Hernandez","Hitter",434,0,73.5,87.5,0,198.33,3,,,,,,
"Brian Bocock","Hitter",244,0,61,290,0,198.33,3,,,,,,
"Nestor Molina","Pitcher",244,0,92,259,0,198.33,3,,,,,,
"Kyle Kubitza","Hitter",0,0,48.5,348,0,198.25,2,,,,,,
"Austin Romine","Hitter",258.5,0,114,306,114,198.13,4,,,,,,
"Dustin Lawley","Hitter",0,0,53.5,342.5,0,198,2,,,,,,
"Manuel Boscan","Hitter",0,0,0,198,0,198,1,,,,,,
"Josh Outman","Pitcher",253,0,94,277,168,198,4,,,,,,
"Kyle Hansen","Pitcher",0,0,0,198,0,198,1,,,,,,
"Chris Stratton","Pitcher",0,0,0,198,0,198,1,,,,,,
"Brian Humphries","Hitter",0,0,59,336.5,0,197.75,2,,,,,,
"Andrew Heid","Hitter",0,0,73.5,322,0,197.75,2,,,,,,
"Kyeong Kang","Hitter",231.5,0,63,298.5,0,197.67,3,,,,,,
"Tuffy Gosewisch","Hitter",238.5,0,64.5,290,0,197.67,3,,,,,,
"Anderson Bolivar","Hitter",0,0,0,197.5,0,197.5,1,,,,,,
"Jeremy Hermida","Hitter",230,0,65,297.5,0,197.5,3,,,,,,
"Jimmy Van Ostrand","Hitter",0,0,76.5,318.5,0,197.5,2,,,,,,
"Yorvit Torrealba","Hitter",228.5,0,72,305,184.5,197.5,4,,,,,,
"Chris O'Dowd","Hitter",0,0,0,197.5,0,197.5,1,,,,,,
"Tim Stauffer","Pitcher",251,0,209,227,103,197.5,4,,,,,,
"Jacob Blackwood","Hitter",0,0,60,334.5,0,197.25,2,,,,,,
"Justin Wilson","Pitcher",264,0,89,335,101,197.25,4,,,,,,
"Chase Davidson","Hitter",0,0,0,197,0,197,1,,,,,,
"Chris Swauger","Hitter",0,0,74,320,0,197,2,,,,,,
"Ryan Verdugo","Pitcher",204,0,104,283,0,197,3,,,,,,
"Mark Cohoon","Pitcher",0,0,90,304,0,197,2,,,,,,
"Charlie Furbush","Pitcher",176,201,146,294,168,197,5,,,,,,
"Rex Brothers","Pitcher",230,0,185,209,164,197,4,,,,,,
"Justin Howard","Hitter",0,0,58.5,335,0,196.75,2,,,,,,
"Shea Vucinich","Hitter",0,0,56.5,337,0,196.75,2,,,,,,
"Cyle Hankerd","Hitter",229.5,0,75.5,285,0,196.67,3,,,,,,
"Jim Adduci","Hitter",0,0,70,323,0,196.5,2,,,,,,
"Adderling Ruiz","Hitter",0,0,0,196.5,0,196.5,1,,,,,,
"Josh Bell","Hitter",370,0,72,147,0,196.33,3,,,,,,
"Matt Torra","Pitcher",219,0,83,287,0,196.33,3,,,,,,
"Odubel Herrera","Hitter",0,0,65.5,327,0,196.25,2,,,,,,
"Myrio Richard","Hitter",0,0,65.5,327,0,196.25,2,,,,,,
"Miguel Beltran","Hitter",0,0,0,196,0,196,1,,,,,,
"Drew Sutton","Hitter",225.5,0,68,294.5,0,196,3,,,,,,
"Alden Carrithers","Hitter",0,0,71,321,0,196,2,,,,,,
"Adrian Bringas","Hitter",0,0,51.5,340.5,0,196,2,,,,,,
"Brett Wiley","Hitter",0,0,0,196,0,196,1,,,,,,
"Matt Buschmann","Pitcher",227,0,89,272,0,196,3,,,,,,
"Dellin Betances","Pitcher",230,0,70,288,0,196,3,,,,,,
"Alex Colome","Pitcher",217,0,108,263,0,196,3,,,,,,
"Jarred Cosart","Pitcher",214,0,100,274,0,196,3,,,,,,
"Kyle Lobstein","Pitcher",212,0,96,280,0,196,3,,,,,,
"Ronny Paulino","Hitter",175.5,0,112,300,0,195.83,3,,,,,,
"Jarrett Hoffpauir","Hitter",320.5,0,71,0,0,195.75,2,,,,,,
"John Whitaker","Hitter",0,0,59.5,332,0,195.75,2,,,,,,
"Ryan Sweeney","Hitter",252.5,0,111,300.5,119,195.75,4,,,,,,
"Dusty Robinson","Hitter",0,0,53,338,0,195.5,2,,,,,,
"Hideki Matsui","Hitter",207.5,0,71,308,0,195.5,3,,,,,,
"Yeison Asencio","Hitter",0,0,59.5,331.5,0,195.5,2,,,,,,
"Logan Wade","Hitter",0,0,0,195.5,0,195.5,1,,,,,,
"Delta Cleary","Hitter",0,0,61.5,329.5,0,195.5,2,,,,,,
"Steve Tinoco","Hitter",0,0,64,327,0,195.5,2,,,,,,
"Jose Sermo","Hitter",0,0,0,195.5,0,195.5,1,,,,,,
"Nathan Minnich","Hitter",0,0,0,195.5,0,195.5,1,,,,,,
"Daisuke Matsuzaka","Pitcher",195,0,162,227,198,195.5,4,,,,,,
"Andre Rienzo","Pitcher",0,0,110,281,0,195.5,2,,,,,,
"Neftali Feliz","Pitcher",340,0,90,156,0,195.33,3,,,,,,
"Brett Tanos","Hitter",0,0,67,323.5,0,195.25,2,,,,,,
"Brett Nommensen","Hitter",0,0,68.5,321.5,0,195,2,,,,,,
"Brandon Macias","Hitter",0,0,57.5,332.5,0,195,2,,,,,,
"Johan Rodriguez","Hitter",0,0,0,195,0,195,1,,,,,,
"Carlos Escobar","Hitter",0,0,0,195,0,195,1,,,,,,
"Jose Gil","Hitter",204,0,71.5,309,0,194.83,3,,,,,,
"Kolbrin Vitek","Hitter",0,0,68.5,321,0,194.75,2,,,,,,
"Marcus Lemon","Hitter",0,0,73.5,316,0,194.75,2,,,,,,
"Drew Maggi","Hitter",0,0,60,329.5,0,194.75,2,,,,,,
"Paul Clemens","Pitcher",224,0,98,262,0,194.67,3,,,,,,
"Aaron Crow","Pitcher",178,224,176,218,177,194.6,5,,,,,,
"Izaac Garsez","Hitter",0,0,0,194.5,0,194.5,1,,,,,,
"Keury De La Cruz","Hitter",0,0,67,322,0,194.5,2,,,,,,
"Jett Bandy","Hitter",0,0,71,318,0,194.5,2,,,,,,
"Tim Ferguson","Hitter",0,0,61,328,0,194.5,2,,,,,,
"Maxx Tissenbaum","Hitter",0,0,55,334,0,194.5,2,,,,,,
"Travis Whitmore","Hitter",0,0,48,341,0,194.5,2,,,,,,
"Nate Tenbrink","Hitter",224.5,0,67,291.5,0,194.33,3,,,,,,
"Chad Reineke","Pitcher",216,0,95,272,0,194.33,3,,,,,,
"Garrett Weber","Hitter",0,0,68,320.5,0,194.25,2,,,,,,
"Angel Villalona","Hitter",0,0,58,330.5,0,194.25,2,,,,,,
"Jonathan Meyer","Hitter",0,0,54.5,334,0,194.25,2,,,,,,
"Drew Muren","Hitter",0,0,77,311.5,0,194.25,2,,,,,,
"Josh Wilson","Hitter",245.5,0,60,276.5,0,194,3,,,,,,
"A.J. Jimenez","Hitter",212,0,69.5,300.5,0,194,3,,,,,,
"Kevin Nolan","Hitter",0,0,64.5,323.5,0,194,2,,,,,,
"Justin Amlung","Pitcher",0,0,0,194,0,194,1,,,,,,
"Casey Crosby","Pitcher",222,0,113,247,0,194,3,,,,,,
"Drew Vettleson","Hitter",0,0,56.5,331,0,193.75,2,,,,,,
"Luke Anders","Hitter",0,0,67,320.5,0,193.75,2,,,,,,
"Edwin Maysonet","Hitter",215.5,0,67,298.5,0,193.67,3,,,,,,
"Gonzalez Germen","Pitcher",244,0,78,259,0,193.67,3,,,,,,
"Steve Delabar","Pitcher",214,188,134,209,223,193.6,5,,,,,,
"Nikolas Balog","Hitter",0,0,0,193.5,0,193.5,1,,,,,,
"Adrian Sanchez","Hitter",0,0,58.5,328.5,0,193.5,2,,,,,,
"Harrison Frawley","Hitter",0,0,0,193.5,0,193.5,1,,,,,,
"Matt Rizzotti","Hitter",314.5,0,72.5,0,0,193.5,2,,,,,,
"Carter Jurica","Hitter",0,0,63,324,0,193.5,2,,,,,,
"Nick Additon","Pitcher",0,0,98,289,0,193.5,2,,,,,,
"Kyle Hald","Pitcher",0,0,92,295,0,193.5,2,,,,,,
"Sean Burroughs","Hitter",170,0,76.5,333.5,0,193.33,3,,,,,,
"Zach Stewart","Pitcher",218,0,104,258,0,193.33,3,,,,,,
"Brad Bergesen","Pitcher",235,0,75,270,0,193.33,3,,,,,,
"Ji-Man Choi","Hitter",0,0,61,325.5,0,193.25,2,,,,,,
"Jarek Cunningham","Hitter",0,0,63.5,323,0,193.25,2,,,,,,
"Tyler Ladendorf","Hitter",0,0,60.5,326,0,193.25,2,,,,,,
"Diego Goris","Hitter",0,0,61,325.5,0,193.25,2,,,,,,
"Jose Felix","Hitter",0,0,72,314.5,0,193.25,2,,,,,,
"Luke Hughes","Hitter",206,0,63,310.5,0,193.17,3,,,,,,
"Rod Barajas","Hitter",259,0,68,294.5,150.5,193,4,,,,,,
"Chris Rahl","Hitter",0,0,68.5,317.5,0,193,2,,,,,,
"John Andreoli","Hitter",0,0,65.5,320.5,0,193,2,,,,,,
"Andrew Longley","Hitter",0,0,0,193,0,193,1,,,,,,
"Mike Spidale","Hitter",311,0,75,0,0,193,2,,,,,,
"Kyle Johnson","Hitter",0,0,0,193,0,193,1,,,,,,
"Vinnie Pestano","Pitcher",192,0,194,195,191,193,4,,,,,,
"Cole Garner","Hitter",234.5,0,79.5,264.5,0,192.83,3,,,,,,
"Wilkin Castillo","Hitter",192,0,75.5,310.5,0,192.67,3,,,,,,
"Jose Alvarez","Pitcher",219,0,93,266,0,192.67,3,,,,,,
"Mike McCoy","Hitter",281.5,0,68,315.5,105.5,192.63,4,,,,,,
"Mike Flacco","Hitter",0,0,67,318,0,192.5,2,,,,,,
"Alec Mehrten","Hitter",0,0,0,192.5,0,192.5,1,,,,,,
"Cory Jensen","Hitter",0,0,0,192.5,0,192.5,1,,,,,,
"Eric Jokisch","Pitcher",0,0,96,289,0,192.5,2,,,,,,
"Jacob Petricka","Pitcher",199,0,101,277,0,192.33,3,,,,,,
"Zachary Wilson","Hitter",0,0,59,325.5,0,192.25,2,,,,,,
"Daniel Poma","Hitter",0,0,54.5,330,0,192.25,2,,,,,,
"Kurtis Muller","Hitter",0,0,67.5,317,0,192.25,2,,,,,,
"Kevin Mahoney","Hitter",0,0,70.5,314,0,192.25,2,,,,,,
"Chone Figgins","Hitter",260,0,79.5,297,132.5,192.25,4,,,,,,
"Nevin Ashley","Hitter",220,0,67,289.5,0,192.17,3,,,,,,
"Chris Dickerson","Hitter",208.5,0,75.5,286,198.5,192.13,4,,,,,,
"Curt Casali","Hitter",0,0,67,317,0,192,2,,,,,,
"Chadd Krist","Hitter",0,0,53,331,0,192,2,,,,,,
"Jaron Shepherd","Hitter",0,0,0,192,0,192,1,,,,,,
"Josh Johnson","Hitter",0,0,65,319,0,192,2,,,,,,
"Ed Lucas","Hitter",0,0,69.5,314.5,0,192,2,,,,,,
"Tony Renda","Hitter",0,0,49.5,334.5,0,192,2,,,,,,
"Alan Sharkey","Hitter",0,0,0,192,0,192,1,,,,,,
"Jon Leroux","Hitter",0,0,0,192,0,192,1,,,,,,
"Ronnie Richardson","Hitter",0,0,44,340,0,192,2,,,,,,
"Tim Kennelly","Hitter",0,0,64.5,319.5,0,192,2,,,,,,
"Brandon Dickson","Pitcher",306,0,78,0,0,192,2,,,,,,
"Drew Locke","Hitter",303.5,0,80,0,0,191.75,2,,,,,,
"Rossmel Perez","Hitter",0,0,73.5,310,0,191.75,2,,,,,,
"Kyle Gaedele","Hitter",0,0,43.5,339.5,0,191.5,2,,,,,,
"John Sgromolo","Hitter",0,0,0,191.5,0,191.5,1,,,,,,
"Jeremy Schaffer","Hitter",0,0,50.5,332.5,0,191.5,2,,,,,,
"Samuel Solis","Pitcher",0,0,132,251,0,191.5,2,,,,,,
"Shawn Haviland","Pitcher",0,0,98,285,0,191.5,2,,,,,,
"Michael McKenry","Hitter",228,0,86.5,297.5,153.5,191.38,4,,,,,,
"Simon Castro","Pitcher",228,0,90,256,0,191.33,3,,,,,,
"Garrett Gould","Pitcher",246,0,98,230,0,191.33,3,,,,,,
"Jake Lowery","Hitter",0,0,51.5,331,0,191.25,2,,,,,,
"Mark Threlkeld","Hitter",0,0,48.5,334,0,191.25,2,,,,,,
"Ryan Strieby","Hitter",316.5,0,66,0,0,191.25,2,,,,,,
"Samuel Kimmel","Hitter",0,0,53.5,329,0,191.25,2,,,,,,
"Corey Jones","Hitter",0,0,70.5,312,0,191.25,2,,,,,,
"Tomas Telis","Hitter",0,0,65,317.5,0,191.25,2,,,,,,
"Yem Prades","Hitter",0,0,68.5,314,0,191.25,2,,,,,,
"J.P. Ramirez","Hitter",0,0,58.5,324,0,191.25,2,,,,,,
"Jeff Baisley","Hitter",313,0,69.5,0,0,191.25,2,,,,,,
"Robbie Ross","Pitcher",164,0,178,268,155,191.25,4,,,,,,
"Clete Thomas","Hitter",234.5,0,63.5,275,0,191,3,,,,,,
"Jorge Saez","Hitter",0,0,0,191,0,191,1,,,,,,
"Jacob Lamb","Hitter",0,0,57.5,324.5,0,191,2,,,,,,
"Ben Francisco","Hitter",193,0,109.5,283.5,178,191,4,,,,,,
"Sonny Gray","Pitcher",0,0,98,284,0,191,2,,,,,,
"Chad Jenkins","Pitcher",212,0,63,298,0,191,3,,,,,,
"Michael Martinez","Hitter",233,0,72,312,146.5,190.88,4,,,,,,
"Taylor Motter","Hitter",0,0,55,326.5,0,190.75,2,,,,,,
"Nathan Karns","Pitcher",217,0,140,215,0,190.67,3,,,,,,
"Kyle Gibson","Pitcher",170,0,194,208,0,190.67,3,,,,,,
"Albert Almora","Hitter",0,0,0,190.5,0,190.5,1,,,,,,
"Nick Shaw","Hitter",0,0,57,324,0,190.5,2,,,,,,
"Jesse Biddle","Pitcher",0,0,114,267,0,190.5,2,,,,,,
"Brad Mills","Pitcher",241,0,95,302,124,190.5,4,,,,,,
"Kenneth Wilson","Hitter",0,0,53.5,327,0,190.25,2,,,,,,
"Grant Buckner","Hitter",0,0,51.5,329,0,190.25,2,,,,,,
"Michael Gilmartin","Hitter",0,0,55.5,325,0,190.25,2,,,,,,
"Jeremie Tice","Hitter",0,0,70,310.5,0,190.25,2,,,,,,
"Brian Hernandez","Hitter",0,0,69,311.5,0,190.25,2,,,,,,
"Joey Gallo","Hitter",0,0,173,207.5,0,190.25,2,,,,,,
"Mychal Givens","Hitter",0,0,59.5,320.5,0,190,2,,,,,,
"Felix Lora","Hitter",0,0,0,190,0,190,1,,,,,,
"Steven Hill","Hitter",0,0,76,304,0,190,2,,,,,,
"Wilfredo Rodriguez","Hitter",0,0,0,190,0,190,1,,,,,,
"Alexander Mercedes","Hitter",0,0,51,329,0,190,2,,,,,,
"Ryan Raburn","Hitter",253.5,0,81,311.5,114,190,4,,,,,,
"Angel Franco","Hitter",0,0,64,316,0,190,2,,,,,,
"Davis Stoneburner","Hitter",0,0,64.5,315.5,0,190,2,,,,,,
"Josh Stinson","Pitcher",248,0,101,264,147,190,4,,,,,,
"Kelvin Herrera","Pitcher",217,199,174,185,175,190,5,,,,,,
"Michael Roth","Pitcher",0,0,0,190,0,190,1,,,,,,
"Nick Weglarz","Hitter",222.5,0,66.5,280.5,0,189.83,3,,,,,,
"Jake McGee","Pitcher",198,183,133,219,216,189.8,5,,,,,,
"Jonathan Rodriguez","Hitter",0,0,58,321.5,0,189.75,2,,,,,,
"Evan Chambers","Hitter",0,0,57,322.5,0,189.75,2,,,,,,
"T.J. Rivera","Hitter",0,0,63.5,316,0,189.75,2,,,,,,
"Matt Kennelly","Hitter",0,0,69,310,0,189.5,2,,,,,,
"Pedro Perez","Hitter",0,0,0,189.5,0,189.5,1,,,,,,
"Darnell Sweeney","Hitter",0,0,56,323,0,189.5,2,,,,,,
"Rafael Lopez","Hitter",0,0,63.5,315.5,0,189.5,2,,,,,,
"Mark Thomas","Hitter",0,0,58.5,320.5,0,189.5,2,,,,,,
"Sam Eberle","Hitter",0,0,0,189.5,0,189.5,1,,,,,,
"Jose Valverde","Pitcher",156,0,285,175,142,189.5,4,,,,,,
"Michael Kirkman","Pitcher",240,0,82,259,177,189.5,4,,,,,,
"Jesus Sucre","Hitter",228,0,65.5,274.5,0,189.33,3,,,,,,
"Wade Hinkle","Hitter",0,0,55,323.5,0,189.25,2,,,,,,
"Byron Buxton","Hitter",0,0,0,189,0,189,1,,,,,,
"Mario Martinez","Hitter",0,0,55.5,322.5,0,189,2,,,,,,
"Brenden Webb","Hitter",0,0,54,324,0,189,2,,,,,,
"Henry Owens","Pitcher",0,0,189,0,0,189,1,,,,,,
"Jason Adam","Pitcher",220,0,95,252,0,189,3,,,,,,
"Jake Buchanan","Pitcher",0,0,74,304,0,189,2,,,,,,
"David Huff","Pitcher",236,0,100,322,98,189,4,,,,,,
"Zach Cone","Hitter",0,0,54.5,323,0,188.75,2,,,,,,
"Brandon Wood","Hitter",227,0,62,277,0,188.67,3,,,,,,
"Zachary Heathcott","Hitter",228,0,59,279,0,188.67,3,,,,,,
"Jake Brigham","Pitcher",207,0,98,261,0,188.67,3,,,,,,
"Jonathan Talley","Hitter",0,0,56,321,0,188.5,2,,,,,,
"Rudy Flores","Hitter",0,0,0,188.5,0,188.5,1,,,,,,
"John Lindsey","Hitter",304,0,73,0,0,188.5,2,,,,,,
"Tyler Hanover","Hitter",0,0,55.5,321.5,0,188.5,2,,,,,,
"Kyle Hendricks","Pitcher",0,0,111,266,0,188.5,2,,,,,,
"Reggie Keen","Hitter",0,0,56.5,320,0,188.25,2,,,,,,
"Ben Orloff","Hitter",0,0,70,306.5,0,188.25,2,,,,,,
"Brian Roberts","Hitter",177,194,111.5,221.5,237,188.2,5,,,,,,
"Luke Gregerson","Pitcher",182,216,171,199,173,188.2,5,,,,,,
"Jordan Ribera","Hitter",0,0,57.5,318.5,0,188,2,,,,,,
"Derrik Gibson","Hitter",0,0,60,316,0,188,2,,,,,,
"Jonathon Berti","Hitter",0,0,56.5,319.5,0,188,2,,,,,,
"Richard Pirkle","Hitter",0,0,0,188,0,188,1,,,,,,
"David Hale","Pitcher",212,0,99,253,0,188,3,,,,,,
"Zach Clark","Pitcher",206,0,79,279,0,188,3,,,,,,
"Matt Belisle","Pitcher",217,0,146,206,183,188,4,,,,,,
"Curtis Partch","Pitcher",208,0,120,236,0,188,3,,,,,,
"Justin Germano","Pitcher",225,0,57,282,0,188,3,,,,,,
"Blake DeWitt","Hitter",214,0,76.5,273,0,187.83,3,,,,,,
"Michael Blanke","Hitter",0,0,61,314.5,0,187.75,2,,,,,,
"John Wooten","Hitter",0,0,53.5,322,0,187.75,2,,,,,,
"Marty Gantt","Hitter",0,0,45.5,330,0,187.75,2,,,,,,
"Tyler Cannon","Hitter",0,0,64,311.5,0,187.75,2,,,,,,
"Carlos Alonso","Hitter",0,0,65.5,310,0,187.75,2,,,,,,
"Ryan Adams","Hitter",306,0,69.5,0,0,187.75,2,,,,,,
"Cameron Perkins","Hitter",0,0,53,322.5,0,187.75,2,,,,,,
"Mike Kvasnicka","Hitter",0,0,52,323.5,0,187.75,2,,,,,,
"Ramon Ortiz","Pitcher",196,0,82,285,0,187.67,3,,,,,,
"Pat Misch","Pitcher",212,0,75,276,0,187.67,3,,,,,,
"Jairo Rodriguez","Hitter",0,0,0,187.5,0,187.5,1,,,,,,
"Anthony Gallas","Hitter",0,0,69.5,305.5,0,187.5,2,,,,,,
"Tyler Hollick","Hitter",0,0,0,187.5,0,187.5,1,,,,,,
"Brock Bond","Hitter",0,0,80,295,0,187.5,2,,,,,,
"Taylor Davis","Hitter",0,0,59.5,315.5,0,187.5,2,,,,,,
"Gregory Hopkins","Hitter",0,0,51,324,0,187.5,2,,,,,,
"Ryan Carpenter","Pitcher",0,0,87,288,0,187.5,2,,,,,,
"Adam Kennedy","Hitter",204,0,70.5,287.5,0,187.33,3,,,,,,
"Julio Morban","Hitter",266.5,0,58,237.5,0,187.33,3,,,,,,
"Drake Britton","Pitcher",236,0,112,214,0,187.33,3,,,,,,
"Steve Bumbry","Hitter",0,0,61.5,313,0,187.25,2,,,,,,
"Tom Belza","Hitter",0,0,56,318.5,0,187.25,2,,,,,,
"Robert Hefflinger","Hitter",0,0,55.5,319,0,187.25,2,,,,,,
"Telvin Nash","Hitter",0,0,144.5,230,0,187.25,2,,,,,,
"Kyle Bellows","Hitter",0,0,69,305.5,0,187.25,2,,,,,,
"Lew Ford","Hitter",197.5,0,85,278.5,0,187,3,,,,,,
"Paul Eshleman","Hitter",0,0,0,187,0,187,1,,,,,,
"Carlos Correa","Hitter",0,0,0,187,0,187,1,,,,,,
"B.J. Boyd","Hitter",0,0,0,187,0,187,1,,,,,,
"Jesus Feliciano","Hitter",303,0,71,0,0,187,2,,,,,,
"Jon Garland","Pitcher",167,0,131,263,0,187,3,,,,,,
"John Stilson","Pitcher",0,0,157,217,0,187,2,,,,,,
"Zach Cooper","Pitcher",0,0,0,187,0,187,1,,,,,,
"Lindsey Caughel","Pitcher",0,0,0,187,0,187,1,,,,,,
"Beau Amaral","Hitter",0,0,53,320.5,0,186.75,2,,,,,,
"Christopher Grayson","Hitter",0,0,62.5,311,0,186.75,2,,,,,,
