Name,Zips,Fans,Steamer,Oliver,Rotochamp,Average,Total
Luke Montz,272.5,0,67.5,377.5,0,239.16666666666666,3
Dan Wagner,0,0,66.5,347.0,0,206.75,2
Daniel Devonshire,0,0,0,134.5,0,134.5,1
Ronard Castillo,0,0,50.0,202.5,0,126.25,2
Rawley Bishop,0,0,67.0,356.5,0,211.75,2
Rashawn Payne,0,0,68.5,362.5,0,215.5,2
Scott Hairston,282.5,399.5,324.5,327.0,279.0,322.5,5
Roberto Adolfo,0,0,47.5,0,0,47.5,1
David Iden,0,0,52.5,0,0,52.5,1
Jason Stidham,0,0,0,337.0,0,337.0,1
Delvi Francisco,0,0,50.0,0,0,50.0,1
Brad Nelson,379.5,0,74.0,440.5,0,298.0,3
Dusty Robinson,0,0,53.0,338.0,0,195.5,2
Smerling Lantigua,0,0,39.5,192.5,0,116.0,2
Kyle Colligan,0,0,60.5,0,0,60.5,1
Jayce Boyd,0,0,52.0,254.5,0,153.25,2
Cameron Gallagher,0,0,48.0,171.0,0,109.5,2
Dayne Read,0,0,61.5,0,0,61.5,1
Justin Bour,0,0,70.5,452.5,0,261.5,2
David Ross,124.0,0,106.5,206.0,220.5,164.25,4
Nick O'Shea,0,0,45.0,233.5,0,139.25,2
Jamie Jarmon,0,0,0,141.5,0,141.5,1
Douglas Duran,0,0,45.0,166.0,0,105.5,2
Jose Constanza,377.5,0,76.5,444.5,0,299.5,3
Richard Shaffer,0,0,45.5,320.5,0,183.0,2
Casio Grider,0,0,47.5,235.5,0,141.5,2
Raul Ibanez,341.5,302.0,183.0,374.5,285.0,297.2,5
Juan Richardson,0,0,70.5,0,0,70.5,1
Nick Derba,0,0,54.0,0,0,54.0,1
Isaias Tejeda,0,0,49.5,236.0,0,142.75,2
Samuel Hiciano,0,0,52.0,0,0,52.0,1
James Beresford,340.5,0,67.0,339.0,0,248.83333333333334,3
Beau Bishop,0,0,0,123.0,0,123.0,1
Bubu Garcia,0,0,0,119.5,0,119.5,1
Jaime Del Valle,0,0,51.5,0,0,51.5,1
Noe Berro,0,0,40.5,0,0,40.5,1
Johnny Damon,302.0,0,81.0,348.0,120.5,212.875,4
ZeErika Hall,0,0,51.5,0,0,51.5,1
Eric Grabe,0,0,53.5,268.0,0,160.75,2
Jimmy Swift,0,0,65.0,244.0,0,154.5,2
Jason Pridie,192.0,0,70.0,256.5,0,172.83333333333334,3
Jaren Matthews,0,0,53.5,0,0,53.5,1
Rick Hague,0,0,55.0,267.5,0,161.25,2
Ruben Sosa,0,0,54.5,264.0,0,159.25,2
David Chester,0,0,61.5,310.0,0,185.75,2
John Baker,109.5,0,80.5,198.0,112.5,125.125,4
Jim Murphy,0,0,60.0,384.5,0,222.25,2
Ryan Ortiz,0,0,65.0,270.0,0,167.5,2
Charlie Cutler,218.5,0,79.0,262.0,0,186.5,3
Brad Suttle,0,0,65.5,0,0,65.5,1
Jairo Gomez,0,0,53.5,203.0,0,128.25,2
Corey Dickerson,452.5,0,85.5,433.0,0,323.6666666666667,3
Gabriel Noriega,0,0,50.0,272.0,0,161.0,2
Gerardo Bustamante,0,0,49.5,0,0,49.5,1
Stetson Allie,0,0,0,183.0,0,183.0,1
David Hernandez,0,0,54.5,0,0,54.5,1
Jon Karcich,0,0,65.0,0,0,65.0,1
Doug Deeds,222.5,0,71.5,0,0,147.0,2
Anthony Claudio,0,0,0,125.5,0,125.5,1
Carlos Ozuna,0,0,44.5,0,0,44.5,1
Estarlin Martinez,0,0,51.5,243.0,0,147.25,2
